Desire-Expression-Sentence,Prior-Context,Post-Context,Fulfillment-Label,Fulfillment-Agreement-Score,Evidence,Evidence-Overlap-Score,Desire-Verbal-Pattern
"One reason I [wanted to] go see NIN live, other than being a fan, was that I know that Trent Reznor and co.","On August 5, last Tuesday, Jen and I headed into Toronto for the nine Inch Nails concert. It was looking grim at the beginning. Torrential rains slowed the driving down, a line up at a highway Wendy's nearly made us dreadfully late, and traffic crawled as slow as a snail once we reached the city proper. It was like fighting a battle just to get there, but once we did, it was well worth it.","Always put on a great show. I had no idea of what I was walking into, though. The light show was incredible! The screen that dropped down occasionally was hallucinogenic. To go to a NIN concert and see this stuff live is an experience all to its own.",Fulfilled,3,"The light show was incredible! The screen that dropped down occasionally was hallucinogenic. It was like fighting a battle just to get there, but once we did, it was well worth it. It was like fighting a battle just to get there, but once we did, it was well worth it. ",0,wanted to
"Vivian wasn't 100% keen on seeing the movie at first and she really didn't give a shit if she saw it in IMAX or what, but because I ""really really"" [wanted to] she conceded and happened to finish work early this afternoon, so we decided to go (me being a bum it was not difficult to clear my schedule).","Finally saw dark Knight this afternoon, in IMAX, with Vivian, exactly as I'd hoped to see it.","So it was great. It had problems with reality, asked you to make a couple of leaps in logic, but overall didn't ask too much and was plenty entertaining along the way. The film's biggest fault is Christian Bale's Batman voice, or growl, or whatever you want to call it. I don't mind him having a husky, menacing Batman voice, but if it gets difficult to understand, you gotta scale it back, and when he's pleading with someone with a gun to a child's head, and it's a fairly emotional scene, you might expect Bruce Wayne's voice to peek through a crack here and there. But whatever, it was epic, it didn't drag ever, and it was exciting.",Fulfilled,3,"Finally saw dark Knight this afternoon, in IMAX, with Vivian, exactly as I'd hoped to see it. So it was great. So it was great. ",2,wanted to
"I [wanted to] cry and I still want to, it's like Daniel and meridian all over again (well, probably without that ascending & coming back part).",I hated that end.,"But on the other hand, it was dark and sad and amazing and heart-breaking and so in-character for Elizabeth Atlantis was always the most important thing for her and she would do anything for its safety. I was really surprised how much I loved it. For me it was one of the best episodes. More emotions, less shooting & exploding. Michelle Morgan did a fantastic job playing Elizabeth.",Unfulfilled,2,I still want to I still want to ,2,wanted to
"She wanted the extra hours and I just [wanted to] go home... well not really... wasn't sure how I'd sleep through the fucking roofers noise, but that turned out ok.","Side note: As I've gotten older my reflexes have gotten better... kinda odd... thought they were supposed to get slower... hmm... must be the ninja training kicking in... good save for the silly mug! Oh yes, and my headache from last night didn't go away overnight like I had hoped, so today ended up being a slow tortuous day at work until the inevitable last phase... and my favorite... the puking stage! Ugh! I don't know how those damn anorexics do it on a regular basis! I was thankfully able to switch a shift with one of my favorite coworkers.",When I got home they weren't over the bedroom any longer and the fan acted as a nice buffer for their banging.,Fulfilled,3,When I got home they weren't over the bedroom any longer and the fan acted as a nice buffer for their banging. When I got home When I got home ,3,wanted to
"I really [wanted to] ride my bike, and I love the swings.",Alright. So today I woke up with my mind set on going to the ball field.,"Around 12 I rode my bike around the block, trying to wake myself up. Also trying to blow away any anger I had leftover from my early rant. I was planning on heading to the field around 2 30. But it was raining. It was a light rain, so I planned to do it when it stopped.",Fulfilled,3,"Around 12 I rode my bike around the block, Around 12 I rode my bike around the block Around 12 I rode my bike around the block ",3,wanted to
Master deceit told me so right after I told him I had recovered and [wanted to] continue my journey.,Perhaps I need more training after all.,"I was being impatient he said, but I was probably living up to my name as well. He told me to find my own way then, and to never return until I had gained what it was I wanted. So now here I am, barely conscious. My life ebbing away in this pit I fell into. The monsters in the next chamber had herded me here by accident.",None,0,"I was being impatient he said, but I was probably living up to my name as well. He told me to find my own way then, and to never return until I had gained what it was I wanted. So now here I am, barely conscious. My life ebbing away in this pit I fell into. The monsters in the next chamber had herded me here by accident. My life ebbing away in this pit I fell into. ",2,wanted to
"This is when I was showing him everything I told Martha, because I just [wanted to] tell him to his face: Me: I was never making a big deal out of this","Well... that was quite a fun conversation I just had with Nick. I'll share with you some juicy little tidbits, my personal favorite moments.","Me: Except for saying that I didn't wanna deal with him me: He's the one complaining to the two of you and Paige me: And I'm sorry Me: But you know I feel shit on and used and I don't get over things Martha: he wasn't complaining first, I asked him to talk to you me: So sorry that you're sick of it, I never wanted it to turn into some big dramatic thing in the first place. And yeah, Paige told me he's been complaining about me ""ignoring"" him for a couple weeks now",Fulfilled,3,"Me: Except for saying that I didn't wanna deal with him me: He's the one complaining to the two of you and Paige me: And I'm sorry Me: But you know I feel shit on and used and I don't get over things Martha: he wasn't complaining first, I asked him to talk to you me: So sorry that you're sick of it, I never wanted it to turn into some big dramatic thing in the first place. And yeah, Paige told me he's been complaining about me ""ignoring"" him for a couple weeks now This is when I was showing him everything I told Martha This is when I was showing him everything I told Martha ",2,wanted to
I [wanted to] be free and creative on the large space on the left but when it came down to it I didn't get any further than some paint and wire twisted around the letters.,I'm privileged this week to be guesting on Pencillines.com with the above layout.,I had lots of ideas but ended up worrying about ruining the printed photo and just didn't let go on it. I still like the layout though - love these photos of Philippa swirling. She adores swirly skirts which I totally get as I always wear skirts that swirl when I'm dancing. My favourite skirts are the ones that are made of a heavy weight fabric or with embroidery at the bottom to weight it and they swirl right out during certain steps. We started on holiday today though it so nearly got cancelled due to bad weather forecasts and fuss about what we're going to be doing / who visiting.,Unfulfilled,3,I didn't get any further than some paint and wire twisted around the letters. but when it came down to it I didn't get any further than some paint and wire twisted around the letters. but when it came down to it I didn't get any further than some paint and wire twisted around the letters. ,2,wanted to
So we looked it up on the GPS... but it ended up bringing us back to one in revere... not where we [wanted to] be.,"I got A CARR! [finally] This week was such an adventure. I got jason mraz tickets for the night before my birthday, worked a ton of hours, and had a stellar weekend. My roommate from freshman and sophomore year at BYU was with her husband in Boston, so I drove the new wheels down there to pick them up on Friday night. Little did I know that we would get a run for our money because of torrential downpours and thunderstorms. Dad called us on the way back up from Boston and told us to stop at Kelly's roast beef to get some dinner.","So we started trying to get back on track when it started raining. Hard. I was driving ten miles an hour through rivers, basically. It was not fun. The lightning was right above us, and Jeff slept through the whole thing.",Fulfilled,2,"but it ended up bringing us back to one in revere My roommate from freshman and sophomore year at BYU was with her husband in Boston, so I drove the new wheels down there to pick them up on Friday night. My roommate from freshman and sophomore year at BYU was with her husband in Boston, so I drove the new wheels down there to pick them up on Friday night. ",2,wanted to
"At first, I just [wanted to] become emotionally stronger and able to stand up for myself and those that I care so deeply about.","Some of these changes were good, like being able to actually stand up for myself much more effectively. Some changes were not great and unwanted... such as being irriated and annoyed much more easily and, the change I dreaded most, the ability to become extremely angry very quickly. I've worked tiredlessly over the last two years to get rid of some of these unwelcomed changes but have not been the least bit successful; however, I've been able to keep much of them under control but am afraid they will one day burst and the consequences could be disastrous. I began to look at humanity, as a whole, in a darker light than before and saw politics, society, morals, and extreme fundamentalist religion to be a cancerous tomb encasing this beautiful planet. I found myself broken, haunted, and torn by the events that took place from this incident that I didn't ask for and began to almost immediately figure out a way to adapt to this nasty and loveless place called Earth.","However, as time passed, I found myself to become increasingly obsessed with the idea of vengeance, fear, a justice where the only phrase acceptable is ""an eye for an eye"", and absolute chaos where people see their faults and pay so dearly for in more ways than one.",Fulfilled,2,"However, as time passed, I found myself to become increasingly obsessed with the idea of vengeance Some of these changes were good, like being able to actually stand up for myself much more effectively. Some of these changes were good, like being able to actually stand up for myself much more effectively. ",2,wanted to
"I pulled off three of the S hooks on the side I [wanted to] face out originally, then wet sanded the superglue spots with acetone and an Emery board.",I went into my studio last night with a glass of Kahlua and cream and good intentions... but didn't clean a thing. I made a pitcher of purple cow... it was easy coloring the resin with a drop of acrylic paint. I figured it could dry while I cleaned. Then I picked up the punchbowl and starting fussing with it.,"The bowl looks better... not back to what it looked like before I ruined it, but better. In the process of trying to fix it I broke off one of the glasses that was hanging from the side... the s hook it was hanging on broke, and the handle broke off the cup too. I found a little orange slice and ice cube, and doctored up the cup... it looks good now and is still usable. I was going to have Imelda hold a cup anyway, she might just as well hold one without a handle... no one will ever be able to tell. I also embedded a fingerprint in the top of the punch.",None,0,"The bowl looks better I pulled off three of the S hooks on the side I [wanted to] face out originally, then wet sanded the superglue spots with acetone and an Emery board. I pulled off three of the S hooks on the side I [wanted to] face out originally, then wet sanded the superglue spots with acetone and an Emery board. ",0,wanted to
"I was supposed to plan the time together, and had [wanted to] watch the sunset, get something to eat, and then play it by ear.","Mostly on the stressful side but a lot of things were vented off, talked about, and worked through. Sometimes you realize how strong a relationship truly is through its conflict and how it's handled. I again feel truly lucky to have such a wonderful, caring, understanding man by my side. I was able to meet with ~M~ Today. It was a very nice time.","Instead, it was over cast and chilly, but we walked through the park, enjoying the crash of waves, the time together, and just getting to know each other better. We then went to get some food, and talked some more. Afterwards we went to the top of the hill for the remainder of our time together.",Unfulfilled,3,"Instead, it was over cast and chilly Instead, it was over cast and chilly, but we walked through the park, enjoying the crash of waves, the time together, and just getting to know each other better. Instead, it was over cast and chilly, but we walked through the park, enjoying the crash of waves, the time together, and just getting to know each other better. ",3,wanted to
"Last month a YJ alumni employee asked me if I [wanted to] be profiled in the upcoming issue of Vatikim, the online alumni newsletter.","It was the first place I remember being accepted for myself without qualification. After much prodding from my mother, who dragged me to my first YJ meeting in Cincinnati in 1972 or so, I became very active in the city club and in the region. I spent three summers as a camper at the National leadership camp, Tel Yehudah. And after graduating from high school, I represented YJ to the Machon lemadrichei chutz la'aretz (Institute for youth Leaders from abroad) in Israel in 1977. After returning from Israel, I worked at Tel Yehudah for two summers as a camper and as the Israeli dance instructor.","Of course I said yes -- YJ was such a formative part of the adult I became. The profile appeared yesterday. You can see it by clicking here. Almost immediately I received an email from a former camper, who sent me these photos taken at Tel Yehudah in 1979.",Fulfilled,3,The profile appeared yesterday. Of course I said yes -- YJ was such a formative part of the adult I became. Of course I said yes -- YJ was such a formative part of the adult I became. ,3,wanted to
"As he enveloped me in his strong, protective arms I knew that I never, ever [wanted to] travel so far away without him again.","As we taxied up to the terminal it really hit me just how much I had missed my family. They couldn't get us off fast enough. I collected my hand luggage and walked briskly down the arrivals corridor, I love small airports! There at the end of the hall was my husband waiting to greet me. I nearly cried for joy as I set my bags down and ran the last couple steps to him.",He thanked God that I was home safe and kissed me gently to welcome me home.,Unknown from the context,2,He thanked God that I was home safe and kissed me gently to welcome me home. He thanked God that I was home safe and kissed me gently to welcome me home. ,2,wanted to
"Today I [wanted to] sleep all day, start the day over.","Alley walk back from video shop Today I got no work done. Today I felt bad for ditching Mattias yesterday, bored, surprised, pleased. Today I thought about how screwed I am for exams, and how my being screwed was my own damn fault. Today I thanked Matt for lending me money, Noah for calling me an ugly man, then an attractive man, then an attractive woman, one after the other.",Today I didn't want to start working. Today I watched another episode of lame old Frontline.,Unfulfilled,2,start the day over. Today I didn't want to start working. Today I watched another episode of lame old Frontline. Today I didn't want to start working. Today I watched another episode of lame old Frontline. ,3,wanted to
"So this past month I learned about boat hulls (more than I ever [wanted to] know), how fruit turns into voltage (batteries), and all about plant transpiration (I still can't say the word, basically it is plant sweat).","This past month my kids have been preparing for a science Fair. Each one did a research report, experiment and presentation board. And they all chose different categories.","While it was alot of work, in the end the kids had a great time experimenting and putting thier boards together. They weren't to keen on the research but understood the need for it. All thier hard work paid off as all three of them brought home 1st place awards for thier group (Grade 3, Jr High & high School). I was proud of them and would have been equally proud even if they didn't get 1st. There were many great experiments and I know the judges had a hard time, but to me each and every child was a winner.",Fulfilled,2,"more than I ever [wanted to] know While it was alot of work, in the end the kids had a great time experimenting and putting thier boards together. While it was alot of work, in the end the kids had a great time experimenting and putting thier boards together. ",0,wanted to
"I had made plans with my sister to do lunch and hang out, I [wanted to] finish working on the hut and unpack a little more, I had a ticket to go to the Titans game with my roomies and out with some other friends after...",And not Friday and I am a day late and a dollar short for posting my faith full Fridays!!! I'm truly sorry friend and so thankful to know you came here looking for it But this week was not so faith full... My week started out being so...,Well on Thursday I had to sit in on one of my managers getting the choice to leave her job or be asked to leave... Let me just say that if those words would have had to come out of my mouth and not my boss' I would have lost it... All night and all day Friday I felt like total crap... I mean it was not my doing but I felt like I had just ruined this girls life by leaving her jobless... Now I know that I didnt make the things happen that led up to this being the choice but I still felt somehow it was my fault.,Unfulfilled,2,But this week was not so faith full Well on Thursday I had to sit in on one of my managers getting the choice to leave her job or be asked to leave... Well on Thursday I had to sit in on one of my managers getting the choice to leave her job or be asked to leave... ,2,wanted to
"I [wanted to] practice sitflying but only expected to spend the time flying on my back, which is usually what they want you to master before moving to sit.","Some time during the day yesterday, someone asked me if I wanted to split an hour of tunnel time 3 ways, and I agreed. The weather being just about perfect, I did six jumps before we headed into Orlando to the wind tunnel.","So I was S\urprised when, about half way through, the instructor started to get me sitflying. I already know how to sitfly, with maybe 500 jumps in that position, but it's much different in the tunnel. For one thing, it's only 10 feet in diameter so unless you're ""falling"" straight down, you'll fly straight into the wall. For another, the maximum wind speed in that tunnel is only 130 something mph, so you have to adapt your body position to be able to fly without falling back down to the ground. Still, the drills we did were very useful, and I found myself today making use of the skills I learned last night.",Fulfilled,3,"So I was S\urprised when, about half way through, the instructor started to get me sitflying. So I was S\urprised when, about half way through, the instructor started to get me sitflying. So I was S\urprised when, about half way through, the instructor started to get me sitflying. ",3,wanted to
"I woke up yesterday feeling fine, did a few things around the house (I had some furniture I [wanted to] rearrange, but it didn't fit so I rearranged it differently), and ran off to grab breakfast.","Meanwhile we watched top Gear, and then opened presents. I received the spaced DVD set from Ben, and from Laura I got a story - she was going to get me an 80 GB iPod (and had, in fact, purchased it) and told ginger, and ginger decided to upgrade it to a 160GB. Which is... I can't describe how totally cool that is. So, soaking in the love and joy of pre-birthday happiness I went to bed early.","I considered Walker Brothers, with a side trip on the way back to get a burrito from El famous, but decided that was too much work. So McDonalds hotcakes and sausage, and I was sated.",Fulfilled,3,"I had some furniture I [wanted to] rearrange, but it didn't fit so I rearranged it differently but it didn't fit so I rearranged it differently but it didn't fit so I rearranged it differently ",2,wanted to
Went to look for present but DK got bored and narky - hes [wanted to] eat apple pie all day so as he was sure that he had seen a bakery we could shop no more...,"Enjoyed yesterday, our walk was good so looking for an equally enjoyable one to pass some time this morning. We went on a little stroll near our hotel up the hill to the temple - we've hardly been to any temples this holiday so its made a nice change for me, although I suspect that DK would rather poke his eyes out. Walked back through the village, quite nice, again im going to say it seems very med like. Very amusing to be strolling in the sun whilst in front of us a man was trying to sell Christmas decorations... Went to the beach - what can I say - your at the beach - same ol same ol - chillin out - good times",At this point I think that I must mention we are on a world wide apple pie quest to find the most perfect apple pie.,Unknown from the context,3,None,3,wanted to
"So you run them like intervals, I told myself, but I knew that would be cheating, and I knew that next week's interval run calls for 10 miles and I [wanted to] save the fun for that.","Running 6 miles at a 9:08 pace in 77 degrees with 90% humidity. After complaining about running in stiff 20mph winds, at least today that was no problem-the air was obligingly still. Set out with the left knee refusing to feel good about the program; walked longer than usual to warm up. Set out for my warm-up mile and felt like the six-mile race pace segment might not happen. Started planning for alternatives.","I also knew that true intervals would call me to run the speed intervals at an even faster pace, and thought that was pretty close to insane. In the end, as soon as I started pacing myself at race pace, I actually felt pretty good*. Unlike my last tempo run, I didn't feel like I was struggling to feel on pace.",Fulfilled,3,"In the end, as soon as I started pacing myself at race pace, I actually felt pretty good In the end, as soon as I started pacing myself at race pace, I actually felt pretty good*. In the end, as soon as I started pacing myself at race pace, I actually felt pretty good*. ",3,wanted to
"Last week, the fm called and wondered if I [wanted to] have frost see the horsie chiropractor and split the farm call.",For the last couple of weeks I have had frost massaged.,"I said sure why not. Its only money right? Today, Frost saw the chiro. He was severly out in his left hip, as well as down his spine. I was actually shocked at how well he stood for the whole process.",Fulfilled,3,"Today, Frost saw the chiro. I said sure why not. Its only money right? Today, Frost saw the chiro. I said sure why not. Its only money right? Today, Frost saw the chiro. ",3,wanted to
"I [wanted to] get away but I also [wanted to] do the normal boyfriend/girlfriend thing, so I tried to calm down and at least sat where our bodies were touching.","Last night was frightening... at least at first. I had invited my boyfriend over to watch a movie and then it kinda went downhill from there. When he sat down next to me I felt something inside me tighten, then I started to feel sick.","We watched Shrek 3 and at first it was strange, there was a part of the movie that wasn't really funny and yet I was uncontrollably laughing to the point of tears. I seriously could not control it. Then a serious part in the movie happened (as serious as Shrek could get lol) and I felt somber. Again, I had that tight feeling in my stomach. I kept thinking to myself I just need to get through this movie and find a polite way to get him to leave, then I'll feel ok.",Fulfilled,2,so I tried to calm down and at least sat where our bodies were touching. ,2,wanted to
They [wanted to] know how old I was right?,"Oh and btw! Just a quicky!... I answered the phone last night, just before I got my major headache that lasted the whole night and early this morning, and it was this guy from an oversees phone company.","And when I said I was 17, thje guy was like, oh sorry, ma'am. I hought you were like 10 or something. !!! Oh my gossh! WTF?!?!? Do I sound that young??? Really now!! I said thanks, sarcastically.",Fulfilled,3,"And when I said I was 17, thje guy was like, oh sorry, ma'am. I hought you were like 10 or something. And when I said I was 17, thje guy was like, oh sorry, ma'am. I hought you were like 10 or something. And when I said I was 17, thje guy was like, oh sorry, ma'am. I hought you were like 10 or something. ",3,wanted to
"I [wanted to] do 2 things, take pictures of what everyone was working on - and I did do that - but only a little, I thought about it when everyone was packed up yesterday and I [wanted to] bring along my tripod and get a group picture in front of the place with everyone - but I forgot to bring along the tripod.","Woo HOO I couldn't have ordered better weather for Kamp Karen. Yes it was a tich warm in the late afternoon but nuttin we couldn't handle. We started out Thursday night with a great dinner out to kick off our retreat and then back to the cottage for a big old slice of brownie Delight and setting up our sewing area. I hang my head when I type this, little silver came along but made very rare appearances can you believe I did that.","So I do have somethings to share just not like I had hoped. We jokingly called this a full service retreat. One of the peeps was out of town earlier in the week and had to miss her haircut appointment. Well she felt like she really needed to get it cut and took a chance on another salon while out of town because she couldn't wait for her next appointment. The story of the haircut is a long one - let's just say it wasn't purty, lol.",Fulfilled,2,"and I did do that - but only a little, I forgot to bring along the tripod. I forgot to bring along the tripod. ",2,wanted to
Today I came home with Holly after shopping at Walmart(which included having her behind the cart pushing and making sure that she didn't run out at people)and she [wanted to] play so I put her down and unloaded the trunk.,How is it that one little person can cause frustration and joy in a matter of 10min.,All the while having the mumma tirade because I wasn't over playing with her. This continued on while I unloaded the cold groceries and put her meal on to cook. I finally came out and my hand was immediately snatched up and I was pulled around the house to play in the sand box then we chased each other then danced and made flower bracelets... all this time the knot of frustration has been loosening and I'm amazed at how she can just be happy. Though only with mumma around or daddy. Some days I wish she could play without me right there and other days I relish the times where she lays in my arms and just wants me to rock her like a baby.,Fulfilled,3,so I put her down and unloaded the trunk.  All the while having the mumma tirade because I wasn't over playing with her. I finally came out and my hand was immediately snatched up and I was pulled around the house to play in the sand box then we chased each other then danced I finally came out and my hand was immediately snatched up and I was pulled around the house to play in the sand box then we chased each other then danced ,3,wanted to
"I was there for about 20 mins before Jack, taking notice of my snarky cynicism, asked if I [wanted to] go back to my apt to get my ice cream.","But it still sucked. I didn't want to think about it but to not think is a conscious effort so, despite having 10:10 class and it being close to 1am, I couldn't sleep. I tried to put in a movie but the DVD player was unhooked and I couldn't figure out how to fix it, I tried to read but that didn't work, I finally settled on calling someone. But it was the night before classes and late so I called Jack. He was nice and came over to take me to his place to watch death Proof with him and Seneca.","Once there I go up the stairs... to find that I hadn't closed the door hard enough and it had swung open just enough for Jerry to escape. I'd been trying not to cry because crying doesn't make me feel better, just dried out.",Fulfilled,3,Once there I go up the stairs... Once there I go up the stairs Once there I go up the stairs ,3,wanted to
"I'm still taking the meds, but I feel like I could start to wean down if I [wanted to].","First of all, I was not shy about telling people what I needed, and they came through. I needed a shower, so I called a neighbor and handed Colin off for a few minutes. I needed to be out of my house (and out of my pajamas) so I called someone else to go for a walk. Also, I just focused on the day/week at hand, not the next month or two. Another thing that seems better is the postpartum depression.","I won't be doing that, however, given the upheavals of moving away from family and friends that are getting ready to come my way. Also, we are moving with a one year-old.",Unfulfilled,3,"I won't be doing that, however, given the upheavals of moving away from family and friends that are getting ready to come my way. I won't be doing that, however I won't be doing that, however ",3,wanted to
"I just [wanted to] see how he was, watch his band play, maybe talk a little bit, and then go home.","It was close to being exactly two months since I stopped caring, and then he did it again. Within three hours hours, he took everything that I'd finally gotten under control and shook it up until it was more out of control than ever.","I could even do without the talking I guess, just nodding a quick goodbye after their set would have been enough. I didn't mean to get wrapped up in this again, but I should have suspected that I would. Nothing was really in my control when he's involved. You give me that look that's like laughing with liquid in your mouth; like you're choosing between choking and spitting it all out... like you're trying to fight gravity on a planet that insists that love is like falling, and falling is like this.",Unfulfilled,2,"I could even do without the talking I guess, just nodding a quick goodbye after their set would have been enough. Within three hours hours, he took everything that I'd finally gotten under control and shook it up until it was more out of control than ever. Within three hours hours, he took everything that I'd finally gotten under control and shook it up until it was more out of control than ever. ",2,wanted to
"I actually [wanted to] go to a Thursday on time... suppose I did, but I only stayed for 5 mins...","Not really... Still love my flatmates, social life and uni folk Lots of work now, ruining it slightly lol im being careful what I say cause my sis is a loudmouth... yes, you. Im ill again at the mo... everyone is. But it sucks.","I was just talking to my mum about liking a girl and now I feel wierd. She kinda told me to stay in but I assume its cause im ill, and she makes jokes about it. Hmm I dunno, perhaps ill keep it on the down-low.",Fulfilled,3,"suppose I did, but I only stayed for 5 mins... suppose I did suppose I did ",2,wanted to
"When we tried to check in yesterday, it looked as though we would have to sit separately- unless we [wanted to] pay an additional #120- which would also give us extra legroom...","We're headed to Los Angeles, picking up a rental car, calling in at my friend's house to borrow a car fridge, blanket, thermos flask and, knowing her, lots of other bits to make our journey more comfortable. Then we're going to get as close to Sequoia National Park as we can tonight, so we get there bright and early in the morning. This holiday has seemed to be a very long time coming! The time since departure is 4 hours and 13 minutes according to the seat back monitors, but it seems like much, much longer. The flight is 11 hours long.","We decided that we'd rather spend #120 on holiday, not just getting there, and if we had to sit separately, we'd sit separately. When we got to the airport, we asked about it again- and were offered the chance to upgrade for #120, but told to ask again at the boarding gate. Well, we asked again at the boarding gate and they sat us together- for nothing. As neither of us takes up quite as much room as we used to, we're very glad we didn't upgrade!",Unfulfilled,2,"We decided that we'd rather spend #120 on holiday, not just getting there, and if we had to sit separately, we'd sit separately. if we had to sit separately, we'd sit separately. if we had to sit separately, we'd sit separately. ",3,wanted to
"We chose what we [wanted to] see, including the Etruscan and Egyptian rooms.","So the Jew and the ex-Catholic walk into the Vatican... with the Muslim and the Buddhist and the agnostic. The museums of the Vatican are intimidating, so much to see and impossible to do in a day.","Of course it all leads to the Sistine Chapel, which is by far the most beautiful piece of art I have ever seen. Words cannot do it justice. The Basilica was impressive; sadly we could not light candles. It seems they are afraid that at least one of the 30,000 visitors per day might burn it down. We managed to mail postcards that will be stamped from the Vatican, and we picked up some souvenirs that Nana and my parents will appreciate.",Fulfilled,3,"Of course it all leads to the Sistine Chapel We chose what we [wanted to] see, including the Etruscan and Egyptian rooms. We chose what we [wanted to] see, including the Etruscan and Egyptian rooms. ",2,wanted to
I was going to a bonfire with the ladies from my Bible study and [wanted to] try a new recipe.,"Before you see the pictures, I need to explain.","It was for s'more brownies. I was a little hesitant to make them, because I feared the broiler in my oven. But I took the plunge and made them anyway. After the brownies cool, you have crumble Graham crackers on top with chocolate chips. Top with marshmallows and broil until golden brown on top.",Fulfilled,3,But I took the plunge and made them anyway. But I took the plunge and made them anyway. But I took the plunge and made them anyway. ,3,wanted to
She was ordering a fucked up drink and I asked her to repeat it because I [wanted to] get it right and I didn't understand what she was ordering and we were super swamped with a huge line.,"I did well, except for one customer almost made me lose my cool and my momentum. Stupid Bitch. If I wasn't on my meds the things I would have said to her. Ohg! She was so rude.","And then really rude she's like, I'm only saying this for the 5th time. Really loud as if to imply I'm an idiot in front of the whole store. Which of course pissed me off and got me off track even more. So I said, ""it's a difficult order.""",Unknown from the context,2,"And then really rude she's like, I'm only saying this for the 5th time. And then really rude she's like, I'm only saying this for the 5th time. ",2,wanted to
"I left my house in my car, only to see these two guys that look vaguely familiar from high school, one of them being this soccer player who was in both my physics and latin class and was a year below mine, and they were driving up to the cul-de-sac on the right, so I followed them because I thought he was cute and [wanted to] see if he noticed me.",Weird dream. I only remember half of it.,"Of course, that was a negative. But Abby's house was right there in that cul-de-sac, so I get out to get her, and instead of Abby, ugly betty comes out instead. She gets into the driver's side, but then I tell her I should probably be the one who drives, and I ask her where she wants to go eat. She mentions this Mexican diner that's really good, I ask her where, and then she mentions as an afterthought that you have to be married in order to be served there. Anyhoo, so I'm turning back into my original street, going 65mph for some reason, and then suddenly I see a whole lot of flashing cop car lights, as well as traffic backed up all the way on the residential street behind them. I look up and see my mom pacing the porch of our house, with the police all over our house, and suddenly I'm on the passenger side as I roll down the window and yell out at her to see what's wrong.",Unfulfilled,2,"Of course, that was a negative. Of course, that was a negative. Of course, that was a negative. ",3,wanted to
"I qlso [wanted to] know more about Marko and Pieter as I woul also want to know more xbout cinnamon Crumble Apole iPe, or anything else.",Love is storytelling. Pieter sat in front of me. I didmt knkw why. I never pay much attention to brochrues wbfore the shows wo I colv not know Ry was inteersted in knowing more about Marko.,"So askwd Pieter who the hell youu are ans what sre you TW going go ro togwther. There wasng much of, letd say, structure. Pieter told me about when he saw Marko for the first time: kn sheep woolen trousers in a still poze. Perhaps Pieter aand II shared the exposure to he same experience. Thf inharmonious looks of thhat fellow with t he tender sweef lost in space lool.",Fulfilled,3,Pieter told me about when he saw Marko for the first time: So askwd Pieter who the hell youu are ans what sre you TW going go ro togwther. So askwd Pieter who the hell youu are ans what sre you TW going go ro togwther. ,3,wanted to
"I [wanted to] ""feel out"" curious liquids and Tracey really wanted subway, and we both discovered we had mutual interests.","04-30-99 Novel news: 29,705 Wow. I wrote a lot more than usual tonight. Tracey and I went out tonight.","We went to Subway and I got my usual (the cold-cut trio meal with pickles and mayo - I'm the most boring subway person ever.) We caught up a little. She told me about a paper she had to write for her romantic era authors class - a discussion on Frankenstein by Shelley. She had asked me how to change the font over the phone that day so she could bring up the page count. At subway, I told her that everyinstance of the title should have been elongated to Frankenstein, or, the modern Prometheus, by Mary Shelley.",Fulfilled,2,we both discovered we had mutual interests. We went to Subway and I got my usual We went to Subway and I got my usual ,2,wanted to
We [wanted to] spend more time with him before committing to adopting him so we put a reserve on him to go back Saturday and then went to Tubb's on University and saw Juno.,Nice relaxing weekend. Friday we went to the humane Society to meet a dog.,Saturday I had my balls surgically removed and went to the wedding expo. It actually wasn't that bad and we made some progress on finding a photographer. Afterwards we went to the humane Society to spend some more time with the dog. He was a little distant and distracted so I was a little unsure about adopting him but Nikki assured me he'd warm up so we went ahead and adopted him. Afterwards we went to mounds to pick up pet supplies and made it back in time to see the Packers behind 0-14.,Fulfilled,3,so we put a reserve on him to go back Saturday and then went to Tubb's on University and saw Juno. we put a reserve on him to go back Saturday we put a reserve on him to go back Saturday ,2,wanted to
"On our walks, when we'd get to the place we [wanted to] turn around, usually we were a bit warm, so a dive into the ocean was necessary.","The time is exactly what it was supposed to be: Relaxing. We did one ""major"" thing every day: Lighthouse, dunes, Wright Brothers, duck, etc - and then it was just walking on the beach. Being that neither of us are ones to ""lay out"" - our sun came from the strolls up and down the coastline, usually 5-8 miles per day. And not tons of tan to show for it - but that's what happens when you use 30-55 SPF. We have some colour, but we're not George Hamilton brown.","It was a tad chilly too, but nice. Only the first two days had any waves to speak of, other than that, we both commented on how calm the surf was. But oy, two days before we left, the mosquitoes came out. I never saw them, but I have about 40 bites all over my arms, lets and feet to show for it and prove they existed.",Fulfilled,3,"On our walks, when we'd get to the place we [wanted to] turn around, usually we were a bit warm, so a dive into the ocean was necessary. when we'd get to the place we [wanted to] turn around when we'd get to the place we [wanted to] turn around ",0,wanted to
